회원번호,회원상태,성별,나이,등록카드,결혼,구독여부,주소지,세부주소지
50798720,정상회원,여,45,새마을금고,,False,대전광역시,서구
51142080,정상회원,여,49,국민카드,기혼,False,울산광역시,중구
51182912,정상회원,남,66,신한은행,기혼,,대구광역시,수성구
51184768,정상회원,남,56,롯데카드,기혼,False,인천광역시,중구
51203328,정상회원,남,58,신협중앙회,미혼,False,부산광역시,영도구
51207040,정상회원,남,43,BC카드,기혼,False,경기도,안산시
51574528,정상회원,여,36,신한은행,,False,경기도,수원시
51897472,정상회원,여,62,BC카드,기혼,False,경상남도,거제시
51927168,탈퇴,여,39,신한은행,기혼,False,경기도,화성시
52420864,정상회원,여,40,우체국,,,충청북도,보은군
52450560,정상회원,여,43,롯데카드,기혼,,경기도,부천시
52480256,정상회원,여,47,우리은행,기혼,True,대구광역시,중구
52515520,정상회원,여,65,롯데카드,,False,대구광역시,달서구
52519232,정상회원,여,42,농협중앙회,,True,대구광역시,달성군
52534080,정상회원,여,43,농협중앙회,,False,충청북도,증평군
52558208,정상회원,여,59,BC카드,,True,전라북도,전주시
52606464,정상회원,여,46,연결앱결제,,False,경상남도,창원시
52767936,정상회원,여,44,신한은행,기혼,,경상남도,거제시
52777216,정상회원,여,41,롯데카드,,False,대전광역시,중구
52792064,정상회원,여,45,부산은행,,,경기도,시흥시
52821760,정상회원,여,59,연결앱결제,,False,충청북도,보은군
52879296,정상회원,여,48,국민카드,기혼,False,경기도,수원시
52886720,정상회원,여,51,연결앱결제,,True,충청북도,청주시
52903424,정상회원,여,40,삼성카드,미혼,False,서울특별시,노원구
52931264,정상회원,여,42,대구은행,,False,부산광역시,남구
52953536,정상회원,여,54,기업은행,기혼,False,경상남도,진주시
53105728,정상회원,여,44,국민은행,,True,경기도,성남시
53157696,정상회원,여,50,국민은행,기혼,True,경상남도,김해시
53165120,정상회원,여,69,연결앱결제,,True,경상남도,진주시
53345152,정상회원,여,39,우리은행,,,충청북도,청주시
53361856,탈퇴,여,43,신한은행,미혼,False,경기도,시흥시
53365568,정상회원,여,41,농협중앙회,미혼,False,경상북도,경산시
53367424,정상회원,여,56,연결앱결제,기혼,False,충청남도,당진시
53372992,정상회원,여,45,국민은행,,True,경기도,고양시
53382272,정상회원,여,44,하나은행,,False,경상남도,진주시
53384128,정상회원,남,42,롯데카드,기혼,False,경상북도,구미시
53432384,정상회원,여,64,롯데카드,,False,경기도,부천시
53465792,정상회원,여,59,우리은행,,False,전라북도,군산시
53543744,정상회원,여,47,롯데카드,,False,인천광역시,계양구
53766464,정상회원,여,43,신한은행,기혼,,광주광역시,서구
53844416,정상회원,여,46,하나은행,,False,서울특별시,송파구
53848128,정상회원,남,77,우리은행,,,전라북도,익산시
53874112,정상회원,여,43,기업은행,기혼,True,대구광역시,북구
53905664,정상회원,여,45,광주은행,기혼,False,강원도,동해시
53942784,정상회원,여,41,농협중앙회,기혼,False,경상북도,경주시
54067136,정상회원,여,44,BC카드,기혼,True,경상북도,포항시
54078272,정상회원,여,43,롯데카드,,False,부산광역시,연제구
54109824,정상회원,여,62,신한은행,,False,광주광역시,광산구
54119104,정상회원,여,43,신한은행,기혼,True,세종특별자치시,대평3길
54256448,정상회원,여,40,국민은행,,False,부산광역시,부산진구
54408640,정상회원,여,48,국민은행,,False,경기도,남양주시
54416064,정상회원,여,60,롯데카드,,True,경상남도,양산시
54603520,정상회원,여,42,우체국,,False,인천광역시,부평구
54605376,정상회원,여,63,롯데카드,,False,울산광역시,동구
54612800,정상회원,여,42,롯데카드,기혼,False,경기도,시흥시
54616512,정상회원,여,49,하나은행,미혼,False,부산광역시,동래구
54623936,정상회원,여,72,현대카드,기혼,False,인천광역시,남동구
54907904,탈퇴,여,48,국민은행,기혼,False,전라남도,영광군
54911616,정상회원,여,46,광주은행,미혼,,충청북도,청주시
54954304,정상회원,여,44,국민은행,,False,경기도,의정부시
55204864,정상회원,남,81,연결앱결제,기혼,False,경기도,양주시
55455424,정상회원,남,53,롯데카드,기혼,True,서울특별시,동대문구
55535232,정상회원,여,41,국민카드,기혼,False,강원도,태백시
55548224,정상회원,남,69,현대카드,,False,경기도,의정부시
55557504,정상회원,여,41,SC제일은행,기혼,False,충청북도,증평군
55835904,탈퇴,여,45,농협중앙회,기혼,False,서울특별시,도봉구
55947264,정상회원,여,45,국민은행,미혼,False,제주특별자치도,제주시
55988096,정상회원,남,69,현대카드,기혼,True,강원도,원주시
56470656,정상회원,여,61,SC제일은행,미혼,False,경기도,수원시
56507776,정상회원,여,65,국민은행,,False,경상남도,진주시
56511488,정상회원,여,52,국민은행,,False,대구광역시,중구
56528192,정상회원,여,57,국민은행,,False,울산광역시,울주군
56530048,정상회원,여,51,기업은행,기혼,,경기도,용인시
56567168,정상회원,여,42,농협중앙회,미혼,False,경상남도,거제시
56570880,정상회원,여,56,신한은행,,True,경상남도,김해시
56576448,정상회원,여,51,연결앱결제,,False,제주특별자치도,서귀포시
56646976,정상회원,여,58,롯데카드,,,충청남도,서산시
56648832,정상회원,여,43,농협중앙회,기혼,,충청남도,천안시
56674816,정상회원,여,52,연결앱결제,,False,경기도,용인시
56747200,정상회원,여,58,우리은행,기혼,True,경기도,광주시
57105408,정상회원,여,42,삼성카드,,False,부산광역시,사하구
57209344,정상회원,여,47,롯데카드,기혼,False,전라북도,군산시
57250176,정상회원,여,58,새마을금고,기혼,False,경기도,용인시
57272448,정상회원,여,58,연결앱결제,,False,경기도,평택시
57331840,정상회원,여,70,신한카드,미혼,True,대구광역시,달서구
57359680,정상회원,여,48,신한은행,,False,부산광역시,연제구
57424640,정상회원,여,70,신한은행,,False,경상북도,포항시
57471040,정상회원,여,58,롯데카드,미혼,False,부산광역시,기장군
57727168,정상회원,여,43,국민은행,,,대전광역시,중구
57797696,정상회원,여,39,롯데카드,기혼,False,부산광역시,강서구
58037120,정상회원,여,58,롯데카드,기혼,False,경상북도,경산시
58068672,정상회원,여,42,롯데카드,,,서울특별시,동작구
58074240,정상회원,여,49,국민카드,,True,강원도,강릉시
58122496,정상회원,여,49,국민은행,,False,경상북도,구미시
58256128,정상회원,여,50,신한은행,,False,충청남도,아산시
58480704,정상회원,여,65,새마을금고,기혼,False,세종특별자치시,조치원읍
58484416,정상회원,여,51,하나은행,,False,경상남도,김해시
58491840,정상회원,여,47,롯데카드,,False,충청남도,아산시
58545664,정상회원,여,43,국민은행,,True,경상북도,김천시
58560512,정상회원,여,53,농협중앙회,,False,서울특별시,은평구
58805504,정상회원,여,38,연결앱결제,기혼,True,경상남도,진주시
59011520,정상회원,여,47,국민카드,기혼,False,경상북도,구미시
59046784,정상회원,여,42,외환은행,기혼,,부산광역시,해운대구
59083904,정상회원,여,68,연결앱결제,기혼,,서울특별시,동대문구
59516352,정상회원,여,40,우리은행,기혼,,광주광역시,서구
59709376,정상회원,여,69,우리은행,기혼,False,제주특별자치도,제주시
59727936,정상회원,여,39,국민카드,미혼,False,인천광역시,연수구
59755776,정상회원,여,54,농협중앙회,미혼,True,부산광역시,부산진구
59759488,정상회원,여,61,하나은행,기혼,,인천광역시,서구
59774336,정상회원,남,65,우리은행,기혼,False,부산광역시,금정구
60210496,정상회원,여,45,신한은행,기혼,False,울산광역시,북구
60275456,정상회원,여,41,BC카드,,False,부산광역시,북구
60277312,정상회원,여,39,기업은행,기혼,False,경기도,오산시
60312576,정상회원,여,43,하나은행,,False,전라북도,군산시
60314432,정상회원,여,42,롯데카드,기혼,False,경상남도,양산시
60654080,정상회원,여,56,연결앱결제,,False,경기도,용인시
60802560,정상회원,여,51,연결앱결제,기혼,False,경기도,안성시
60895360,정상회원,여,48,롯데카드,,True,인천광역시,남동구
60912064,정상회원,여,40,농협중앙회,,False,경상북도,울진군
60926912,정상회원,여,38,롯데카드,,False,울산광역시,남구
60956608,정상회원,여,38,롯데카드,,False,부산광역시,기장군
60984448,정상회원,여,69,국민은행,,,서울특별시,송파구
61197888,정상회원,여,58,국민은행,,False,경기,고양시
61201600,정상회원,여,39,국민은행,기혼,False,전라북도,남원시
61203456,정상회원,여,73,우리은행,기혼,False,대전광역시,동구
61216448,정상회원,여,51,롯데카드,미혼,False,인천광역시,계양구
61220160,정상회원,여,67,농협중앙회,미혼,False,경기도,용인시
61223872,정상회원,여,47,롯데카드,미혼,True,전라남도,목포시
61424320,정상회원,여,71,현대카드,기혼,False,부산광역시,서구
61426176,정상회원,여,66,롯데카드,미혼,False,서울특별시,강남구
61441024,정상회원,여,58,우리은행,미혼,,경상북도,구미시
61442880,정상회원,여,61,국민은행,기혼,True,전라남도,목포시
61452160,정상회원,여,72,우리은행,기혼,,전라북도,전주시
61541248,정상회원,여,59,롯데카드,미혼,False,부산광역시,부산진구
61546816,정상회원,여,67,기업은행,기혼,True,부산광역시,부산진구
61548672,정상회원,여,71,국민은행,미혼,,경상북도,경산시
61652608,정상회원,여,62,우리은행,미혼,,전라남도,여수시
61713856,정상회원,여,60,미래에셋증권,미혼,False,강원도,춘천시
61750976,정상회원,여,68,국민은행,미혼,False,경상남도,양산시
61763968,정상회원,여,69,농협중앙회,미혼,True,전라북도,군산시
61867904,정상회원,여,58,BC카드,기혼,False,전라북도,군산시
62012672,정상회원,여,59,연결앱결제,기혼,False,전라남도,순천시
62261376,정상회원,여,69,현대카드,기혼,False,경상남도,거제시
62326336,정상회원,여,54,광주은행,미혼,,부산광역시,남구
62341184,정상회원,여,60,우체국,미혼,False,대전광역시,서구
62343040,정상회원,여,59,하나은행,미혼,False,대구광역시,남구
62361600,정상회원,여,55,하나은행,미혼,False,강원도,삼척시
62426560,정상회원,여,59,기업은행,미혼,False,대구광역시,수성구
62615872,정상회원,여,58,연결앱결제,미혼,False,경기도,부천시
62686400,정상회원,여,55,경남은행,미혼,False,경기,고양시
62688256,정상회원,여,56,연결앱결제,미혼,False,경기도,이천시
62704960,정상회원,여,64,신한은행,미혼,False,서울특별시,서초구
62716096,정상회원,여,59,연결앱결제,미혼,,경기도,양주시
62743936,정상회원,여,70,광주은행,기혼,False,경상북도,경산시
63308160,정상회원,여,67,신한카드,미혼,True,부산광역시,북구
63553152,정상회원,여,64,신한은행,기혼,False,세종특별자치시,보듬3로
63655232,정상회원,여,65,연결앱결제,기혼,False,경기도,안산시
63722048,정상회원,여,58,국민은행,미혼,,서울특별시,강남구
63723904,정상회원,여,53,농협중앙회,미혼,False,충청남도,천안시
63796288,정상회원,여,61,광주은행,미혼,True,전라북도,익산시
63967040,정상회원,여,72,부산은행,미혼,False,전라남도,순천시
64004160,정상회원,여,57,국민은행,미혼,False,경상북도,경산시
64295552,정상회원,여,45,하나은행,미혼,True,경상남도,거제시
64306688,정상회원,여,63,롯데카드,기혼,,서울특별시,강남구
64330816,정상회원,여,57,농협중앙회,미혼,False,경상북도,포항시
64460736,정상회원,여,63,우리은행,미혼,False,대구광역시,북구
64483008,정상회원,여,57,롯데카드,미혼,False,경기도,시흥시
64586944,정상회원,여,54,연결앱결제,미혼,False,대전광역시,서구
64679744,정상회원,여,72,롯데카드,기혼,False,전라남도,순천시
64859776,정상회원,여,53,신한은행,미혼,False,광주광역시,서구
64861632,정상회원,여,54,롯데카드,미혼,False,강원도,태백시
64921024,정상회원,여,64,신한은행,미혼,False,경기도,안산시
64972992,정상회원,여,56,우리은행,기혼,False,대구광역시,수성구
65036096,정상회원,여,55,롯데카드,미혼,False,경상남도,양산시
65130752,정상회원,여,64,롯데카드,기혼,,전라남도,목포시
65290368,정상회원,여,55,롯데카드,미혼,False,광주광역시,광산구
65511232,정상회원,여,67,신한은행,기혼,False,제주특별자치도,제주시
65514944,정상회원,여,44,신한은행,미혼,False,전라북도,군산시
65527936,정상회원,여,42,하나은행,미혼,False,경기도,용인시
65548352,정상회원,여,41,우리은행,미혼,False,울산광역시,남구
65639296,정상회원,남,53,우리은행,기혼,False,부산광역시,동래구
65650432,정상회원,여,37,우리은행,기혼,False,경상북도,구미시
65873152,정상회원,여,58,기업은행,미혼,False,경기도,수원시
65888000,정상회원,여,38,국민은행,기혼,False,충청북도,음성군
65900992,정상회원,여,41,롯데카드,미혼,False,서울특별시,노원구
65906560,정상회원,여,47,농협중앙회,미혼,True,경기도,화성시
66053184,정상회원,여,43,우리은행,미혼,False,부산광역시,기장군
66201664,정상회원,여,59,신한은행,미혼,True,부산광역시,사하구
66205376,정상회원,여,40,우리은행,미혼,False,서울특별시,마포구
66285184,정상회원,여,52,우리은행,미혼,False,경상남도,거제시
66472640,정상회원,여,43,롯데카드,미혼,False,경상북도,구미시
66474496,정상회원,여,42,새마을금고,미혼,False,전라북도,군산시
66478208,정상회원,여,50,연결앱결제,기혼,True,전라북도,전주시
66485632,정상회원,여,46,기업은행,기혼,False,부산광역시,동래구
66810432,정상회원,여,58,신한카드,미혼,False,대구광역시,달서구
67105536,정상회원,여,60,부산은행,,False,강원도,원주시
67109248,정상회원,여,52,우리은행,,False,경기도,시흥시
67185344,정상회원,여,61,BC카드,기혼,True,인천광역시,남동구
67189056,정상회원,여,49,신한카드,기혼,True,서울특별시,강서구
67202048,정상회원,여,53,신한카드,,,전라북도,군산시
67302272,정상회원,여,59,국민카드,,False,강원도,태백시
67367232,정상회원,여,73,농협중앙회,기혼,True,경기도,수원시
67448896,정상회원,여,62,외환은행,미혼,,부산광역시,연제구
67556544,정상회원,여,61,농협중앙회,,False,서울특별시,동작구
67563968,정상회원,여,61,우리은행,,False,울산광역시,울주군
67601088,정상회원,여,76,우리은행,,False,충청남도,서산시
67602944,정상회원,여,61,국민은행,,False,서울특별시,강북구
67634496,탈퇴,여,65,롯데카드,기혼,False,강원도,삼척시
67705024,정상회원,여,62,기업은행,미혼,,경상남도,김해시
67821952,정상회원,여,57,기업은행,,,대구광역시,동구
67987136,정상회원,여,55,신한은행,미혼,False,부산광역시,사하구
68027968,정상회원,여,43,롯데카드,,True,경기도,의정부시
68200576,정상회원,여,52,우리은행,,False,서울특별시,노원구
68276672,정상회원,남,63,현대카드,,False,경기도,성남시
68310080,정상회원,여,60,우리은행,기혼,False,전라남도,여수시
68452992,정상회원,여,66,외환은행,미혼,True,경기도,여주시
68506816,정상회원,여,65,신한은행,기혼,,경기도,수원시
68891008,정상회원,여,56,신한은행,기혼,False,경상남도,창원시
68976384,정상회원,여,51,연결앱결제,미혼,False,경기도,안산시
69199104,정상회원,여,53,연결앱결제,,False,경기도,하남시
69319744,정상회원,여,53,연결앱결제,,False,부산광역시,강서구
69403264,정상회원,여,56,우리은행,,True,충청북도,제천시
69455232,정상회원,여,65,연결앱결제,,False,서울특별시,은평구
69457088,정상회원,여,60,농협중앙회,,False,경기도,안산시
69501632,탈퇴,여,59,롯데카드,기혼,True,충청북도,제천시
69503488,탈퇴,여,76,신한은행,기혼,False,경상남도,밀양시
69642688,정상회원,여,68,롯데카드,미혼,,강원도,춘천시
69731776,정상회원,여,59,하나은행,,,부산광역시,해운대구
69750336,정상회원,여,60,농협중앙회,기혼,,경기도,용인시
69785600,정상회원,여,45,SC제일은행,,True,경상남도,거제시
69804160,정상회원,여,58,기업은행,,False,대전광역시,유성구
69950784,정상회원,여,49,SC제일은행,기혼,False,부산광역시,부산진구
70284864,정상회원,여,52,BC카드,미혼,,부산광역시,해운대구
70305280,정상회원,여,40,농협중앙회,,False,경기도,고양시
70698752,정상회원,여,83,롯데카드,,,경상남도,양산시
70960448,정상회원,여,61,농협중앙회,,False,경상북도,안동시
70988288,정상회원,여,62,롯데카드,,False,대전광역시,중구
71056960,정상회원,여,47,연결앱결제,기혼,False,부산광역시,동래구
71092224,정상회원,여,58,국민은행,,False,경상북도,상주시
71355776,정상회원,여,40,롯데카드,미혼,False,경상북도,경산시
71465280,정상회원,여,60,기업은행,미혼,False,부산광역시,해운대구
71489408,정상회원,여,55,신한카드,미혼,False,전라북도,전주시
71535808,정상회원,여,55,BC카드,미혼,False,서울특별시,강남구
71678720,정상회원,여,52,우리은행,미혼,False,서울특별시,강서구
71767808,정상회원,여,57,롯데카드,미혼,False,경기도,수원시
71901440,정상회원,여,48,신한은행,미혼,False,충청북도,음성군
72131584,정상회원,여,69,기업은행,미혼,False,부산광역시,동래구
72168704,정상회원,여,44,BC카드,미혼,False,경상남도,거제시
72202112,정상회원,여,52,우리은행,미혼,False,경기도,화성시
72454528,정상회원,여,43,롯데카드,미혼,,울산광역시,남구
72796032,정상회원,여,39,농협중앙회,미혼,False,부산광역시,부산진구
72805312,정상회원,여,44,신한카드,미혼,False,부산광역시,강서구
73217344,정상회원,여,43,연결앱결제,미혼,False,세종특별자치시,조치원읍
73222912,정상회원,여,40,국민은행,미혼,False,경상남도,양산시
73258176,정상회원,여,47,기업은행,미혼,True,서울특별시,강서구
73260032,정상회원,여,39,BC카드,미혼,False,울산광역시,울주군
73265600,정상회원,여,48,농협중앙회,미혼,False,서울특별시,마포구
73545856,정상회원,여,47,광주은행,미혼,False,충청남도,홍성군
73551424,정상회원,여,49,롯데카드,미혼,,울산광역시,북구
73553280,정상회원,여,47,국민은행,미혼,False,서울특별시,강남구
73885504,정상회원,여,45,농협중앙회,미혼,,세종특별자치시,조치원읍
74137920,정상회원,여,40,롯데카드,미혼,False,광주광역시,서구
74147200,정상회원,여,46,롯데카드,미혼,,경기도,수원시
74169472,정상회원,여,71,롯데카드,미혼,False,제주특별자치도,서귀포시
74175040,정상회원,여,63,신한카드,미혼,False,경상남도,거창군
74188032,정상회원,여,42,국민은행,미혼,False,부산광역시,금정구
74201024,정상회원,여,40,농협중앙회,기혼,True,서울특별시,강남구
74425600,정상회원,여,48,신한은행,기혼,False,부산광역시,해운대구
74470144,정상회원,여,44,새마을금고,미혼,False,대전광역시,서구
74562944,정상회원,여,52,신한은행,미혼,False,경상북도,경산시
74566656,정상회원,여,44,국민은행,미혼,False,서울특별시,동대문구
74824640,정상회원,여,47,우리은행,미혼,False,광주광역시,광산구
75381440,정상회원,여,79,롯데카드,기혼,False,부산광역시,남구
75403712,정상회원,여,57,농협중앙회,기혼,False,경기도,이천시
75438976,정상회원,여,58,연결앱결제,미혼,False,전라북도,전주시
75596736,정상회원,여,53,신한카드,미혼,False,충청남도,천안시
75730368,정상회원,여,62,경남은행,미혼,,서울특별시,강북구
76160960,정상회원,여,31,신협중앙회,기혼,False,대전광역시,대덕구
76498752,정상회원,여,63,농협중앙회,미혼,False,경기도,고양시
76541440,정상회원,여,52,연결앱결제,미혼,False,경기도,용인시
76545152,정상회원,여,64,국민은행,미혼,False,충청북도,음성군
76554432,정상회원,여,44,롯데카드,미혼,False,서울특별시,노원구
76968320,정상회원,여,41,우리은행,미혼,False,인천광역시,부평구
77062976,정상회원,여,41,롯데카드,미혼,False,광주광역시,남구
77760832,정상회원,여,61,SC제일은행,기혼,False,경상북도,안동시
77881472,정상회원,여,44,신한카드,미혼,False,부산광역시,북구
77901888,정상회원,여,42,우리은행,미혼,False,경상북도,포항시
78319488,정상회원,여,44,미래에셋증권,기혼,,경기도,화성시
78516224,정상회원,남,49,국민은행,기혼,False,경상북도,포항시
78785344,정상회원,여,58,현대카드,미혼,False,인천광역시,부평구
78872576,정상회원,여,68,국민은행,미혼,False,부산광역시,연제구
78956096,정상회원,여,34,기업은행,미혼,False,대전광역시,서구
79401536,정상회원,여,44,국민은행,미혼,False,대구광역시,수성구
79436800,정상회원,여,40,국민카드,미혼,False,강원도,고성군
79451648,정상회원,여,43,롯데카드,미혼,True,대구광역시,수성구
79473920,정상회원,여,50,신한은행,기혼,False,전라남도,광양시
79561152,정상회원,여,37,신한은행,미혼,False,경기도,의정부시
79761600,정상회원,남,50,농협중앙회,기혼,False,경상북도,영주시
79783872,정상회원,여,45,농협중앙회,미혼,False,경상남도,창원시
80080832,정상회원,여,59,우리은행,기혼,False,경상남도,양산시
80136512,정상회원,여,65,신한은행,기혼,False,부산광역시,사하구
80810240,정상회원,여,55,기업은행,기혼,False,부산광역시,남구
81101632,정상회원,남,81,농협중앙회,미혼,False,경상남도,거제시
